Order_ID,Date,Customer_ID,Product_Category,Product_Name,Quantity,Unit_Price_INR,Total_Sales_INR,Payment_Method,State,Country,Month
ORD100019,2024-01-20,CUST4385,Grocery,Atta 10Kg,2,19050,38100,Credit Card,Gujarat,India,1
ORD100020,2024-01-21,CUST7396,Electronics,Headphones,3,28845,86535,Cash On Delivery,West Bengal,India,1
ORD100021,2024-01-22,CUST9666,Grocery,Atta 10Kg,1,27152,27152,Credit Card,Karnataka,India,1
ORD100022,2024-01-23,CUST3558,Grocery,Cooking Oil,3,18224,54672,Debit Card,Delhi,India,1
ORD100023,2024-01-24,CUST8849,Fashion,T-Shirt,1,17802,17802,Credit Card,Maharashtra,India,1
ORD100024,2024-01-25,CUST3047,Fashion,Shoes,1,13974,13974,Upi,Maharashtra,India,1
ORD100025,2024-01-26,CUST3747,Beauty,Perfume,2,25759,51518,Debit Card,Karnataka,India,1
ORD100026,2024-01-27,CUST1189,Beauty,Face Cream,2,9305,18610,Upi,Rajasthan,India,1
ORD100027,2024-01-28,CUST3734,Fashion,Jacket,5,9187,45935,Upi,West Bengal,India,1
ORD100028,2024-01-29,CUST4005,Electronics,Laptop,5,14759,73795,Upi,Rajasthan,India,1
ORD100029,2024-01-30,CUST5658,Beauty,Hair Dryer,3,1791,5373,Cash On Delivery,Gujarat,India,1
ORD100030,2024-01-31,CUST2899,Beauty,Face Cream,5,1512,7560,Cash On Delivery,Rajasthan,India,1
ORD100031,2024-02-01,CUST8734,Beauty,Lipstick,4,14888,59552,Debit Card,Delhi,India,2
ORD100032,2024-02-02,CUST2267,Electronics,Smartwatch,3,19188,57564,Upi,Maharashtra,India,2
ORD100033,2024-02-03,CUST2528,Home & Kitchen,Water Bottle,3,2669,8007,Debit Card,Karnataka,India,2
ORD100034,2024-02-04,CUST4556,Grocery,Atta 10Kg,5,9217,46085,Debit Card,Maharashtra,India,2
ORD100035,2024-02-05,CUST4890,Home & Kitchen,Cookware Set,3,11900,35700,Debit Card,Rajasthan,India,2
ORD100036,2024-02-06,CUST9838,Home & Kitchen,Water Bottle,2,16277,32554,Upi,West Bengal,India,2
ORD100037,2024-02-07,CUST6393,Fashion,Jeans,2,21927,43854,Credit Card,West Bengal,India,2
ORD100038,2024-02-08,CUST9792,Beauty,Face Cream,1,2264,2264,Cash On Delivery,Gujarat,India,2
ORD100039,2024-02-09,CUST9433,Grocery,Atta 10Kg,3,14949,44847,Upi,Gujarat,India,2
ORD100040,2024-02-10,CUST8513,Home & Kitchen,Bedsheet,4,771,3084,Upi,Rajasthan,India,2
ORD100041,2024-02-11,CUST3612,Grocery,Cooking Oil,4,7259,29036,Credit Card,Karnataka,India,2
ORD100042,2024-02-12,CUST8041,Fashion,Jeans,1,15059,15059,Upi,Rajasthan,India,2
ORD100043,2024-02-13,CUST7235,Home & Kitchen,Cookware Set,1,24797,24797,Cash On Delivery,Gujarat,India,2
ORD100044,2024-02-14,CUST6486,Beauty,Hair Dryer,2,24021,48042,Cash On Delivery,West Bengal,India,2
ORD100045,2024-02-15,CUST8099,Fashion,Jeans,3,21627,64881,Cash On Delivery,West Bengal,India,2
ORD100046,2024-02-16,CUST1775,Grocery,Atta 10Kg,1,8013,8013,Debit Card,Delhi,India,2
ORD100047,2024-02-17,CUST9226,Home & Kitchen,Bedsheet,2,11945,23890,Credit Card,Rajasthan,India,2
ORD100048,2024-02-18,CUST4152,Grocery,Tea 1Kg,1,23850,23850,Upi,West Bengal,India,2
ORD100049,2024-02-19,CUST2585,Grocery,Rice 5Kg,3,23611,70833,Debit Card,Gujarat,India,2
ORD100050,2024-02-20,CUST4943,Fashion,Shoes,3,22242,66726,Upi,Delhi,India,2
ORD100051,2024-02-21,CUST8555,Fashion,Jacket,4,1188,4752,Debit Card,West Bengal,India,2
ORD100052,2024-02-22,CUST4073,Grocery,Atta 10Kg,4,16333,65332,Upi,Delhi,India,2
ORD100053,2024-02-23,CUST2021,Grocery,Atta 10Kg,3,7624,22872,Cash On Delivery,Gujarat,India,2
ORD100054,2024-02-24,CUST4843,Home & Kitchen,Mixer Grinder,3,26631,79893,Upi,Maharashtra,India,2
ORD100055,2024-02-25,CUST8989,Fashion,Shoes,4,18839,75356,Cash On Delivery,Delhi,India,2
ORD100056,2024-02-26,CUST7873,Fashion,Shoes,1,5976,5976,Upi,West Bengal,India,2
ORD100057,2024-02-27,CUST6675,Beauty,Hair Dryer,2,6542,13084,Upi,Delhi,India,2
ORD100058,2024-02-28,CUST1161,Fashion,T-Shirt,4,21057,84228,Cash On Delivery,Delhi,India,2
ORD100059,2024-02-29,CUST5297,Electronics,Smartphone,4,18459,73836,Upi,Karnataka,India,2
ORD100060,2024-03-01,CUST1995,Electronics,Tablet,5,16700,83500,Cash On Delivery,Gujarat,India,3
ORD100061,2024-03-02,CUST8629,Beauty,Lipstick,5,27544,137720,Credit Card,West Bengal,India,3
ORD100062,2024-03-03,CUST2016,Home & Kitchen,Cookware Set,3,22004,66012,Upi,Maharashtra,India,3
ORD100063,2024-03-04,CUST8869,Fashion,Shoes,1,17362,17362,Debit Card,Rajasthan,India,3
ORD100064,2024-03-05,CUST7439,Electronics,Smartphone,4,27712,110848,Cash On Delivery,Rajasthan,India,3
ORD100065,2024-03-06,CUST8892,Fashion,Jacket,1,9105,9105,Cash On Delivery,Gujarat,India,3
ORD100066,2024-03-07,CUST7863,Electronics,Laptop,1,27624,27624,Upi,Maharashtra,India,3
ORD100067,2024-03-08,CUST8916,Electronics,Smartwatch,4,24417,97668,Debit Card,Rajasthan,India,3
ORD100068,2024-03-09,CUST9529,Home & Kitchen,Cookware Set,2,18293,36586,Credit Card,Gujarat,India,3
ORD100069,2024-03-10,CUST1878,Home & Kitchen,Cookware Set,4,18479,73916,Upi,Delhi,India,3
ORD100070,2024-03-11,CUST5887,Beauty,Perfume,1,7117,7117,Debit Card,Maharashtra,India,3
ORD100071,2024-03-12,CUST5859,Electronics,Laptop,4,21967,87868,Cash On Delivery,Gujarat,India,3
ORD100072,2024-03-13,CUST7331,Fashion,Shoes,3,2630,7890,Cash On Delivery,Delhi,India,3
ORD100073,2024-03-14,CUST9571,Fashion,Shoes,2,16605,33210,Debit Card,Gujarat,India,3
ORD100074,2024-03-15,CUST9684,Beauty,Perfume,1,24451,24451,Credit Card,Gujarat,India,3
ORD100075,2024-03-16,CUST8208,Beauty,Hair Dryer,4,10526,42104,Upi,Karnataka,India,3
ORD100076,2024-03-17,CUST6276,Electronics,Smartwatch,3,26945,80835,Debit Card,Delhi,India,3
ORD100077,2024-03-18,CUST3062,Fashion,T-Shirt,5,12094,60470,Debit Card,West Bengal,India,3
ORD100078,2024-03-19,CUST1064,Beauty,Lipstick,2,10381,20762,Debit Card,Gujarat,India,3
ORD100079,2024-03-20,CUST9006,Grocery,Tea 1Kg,1,25858,25858,Cash On Delivery,Delhi,India,3
ORD100080,2024-03-21,CUST3568,Home & Kitchen,Bedsheet,3,12932,38796,Credit Card,West Bengal,India,3
ORD100081,2024-03-22,CUST6463,Electronics,Tablet,1,7205,7205,Debit Card,West Bengal,India,3
ORD100082,2024-03-23,CUST3027,Home & Kitchen,Mixer Grinder,4,15340,61360,Cash On Delivery,Karnataka,India,3
ORD100083,2024-03-24,CUST3695,Fashion,Shoes,4,1155,4620,Upi,Gujarat,India,3
ORD100084,2024-03-25,CUST6258,Beauty,Lipstick,1,6763,6763,Upi,Gujarat,India,3
ORD100085,2024-03-26,CUST6618,Home & Kitchen,Water Bottle,4,11017,44068,Cash On Delivery,Gujarat,India,3
ORD100086,2024-03-27,CUST7736,Home & Kitchen,Bedsheet,3,12673,38019,Upi,Rajasthan,India,3
ORD100087,2024-03-28,CUST1391,Fashion,Jeans,5,729,3645,Debit Card,West Bengal,India,3
ORD100088,2024-03-29,CUST6892,Electronics,Headphones,2,20175,40350,Cash On Delivery,Karnataka,India,3
ORD100089,2024-03-30,CUST4561,Home & Kitchen,Water Bottle,2,574,1148,Upi,West Bengal,India,3
ORD100090,2024-03-31,CUST7184,Grocery,Rice 5Kg,4,29252,117008,Cash On Delivery,Rajasthan,India,3
ORD100091,2024-04-01,CUST4099,Electronics,Tablet,2,4014,8028,Upi,Rajasthan,India,4
ORD100092,2024-04-02,CUST7278,Beauty,Face Cream,1,24803,24803,Debit Card,Gujarat,India,4
ORD100093,2024-04-03,CUST9392,Grocery,Rice 5Kg,1,22127,22127,Cash On Delivery,Karnataka,India,4
ORD100094,2024-04-04,CUST4104,Fashion,T-Shirt,3,19665,58995,Credit Card,Delhi,India,4
ORD100095,2024-04-05,CUST8215,Home & Kitchen,Mixer Grinder,2,11283,22566,Upi,Rajasthan,India,4
ORD100096,2024-04-06,CUST3454,Electronics,Smartwatch,4,6095,24380,Cash On Delivery,Delhi,India,4
ORD100097,2024-04-07,CUST9996,Electronics,Smartphone,4,9699,38796,Debit Card,Maharashtra,India,4
ORD100098,2024-04-08,CUST3731,Grocery,Atta 10Kg,5,15763,78815,Upi,West Bengal,India,4
ORD100099,2024-04-09,CUST9154,Electronics,Tablet,4,17974,71896,Cash On Delivery,Rajasthan,India,4
ORD100100,2024-04-10,CUST6056,Beauty,Face Cream,4,20537,82148,Credit Card,Rajasthan,India,4
ORD100101,2024-04-11,CUST9110,Electronics,Smartwatch,4,481,1924,Upi,West Bengal,India,4
ORD100102,2024-04-12,CUST4840,Beauty,Hair Dryer,5,28604,143020,Upi,Delhi,India,4
ORD100103,2024-04-13,CUST2028,Electronics,Smartphone,3,1429,4287,Credit Card,Karnataka,India,4
ORD100104,2024-04-14,CUST8385,Fashion,T-Shirt,2,1439,2878,Debit Card,Delhi,India,4
ORD100105,2024-04-15,CUST1502,Home & Kitchen,Mixer Grinder,2,28644,57288,Debit Card,Maharashtra,India,4
ORD100106,2024-04-16,CUST7910,Beauty,Hair Dryer,4,13805,55220,Debit Card,Karnataka,India,4
ORD100107,2024-04-17,CUST7938,Grocery,Tea 1Kg,2,11185,22370,Debit Card,Karnataka,India,4
ORD100108,2024-04-18,CUST5488,Home & Kitchen,Mixer Grinder,1,9406,9406,Cash On Delivery,West Bengal,India,4
ORD100109,2024-04-19,CUST1206,Grocery,Atta 10Kg,2,15752,31504,Debit Card,Gujarat,India,4
ORD100110,2024-04-20,CUST6134,Home & Kitchen,Cookware Set,2,28825,57650,Credit Card,Maharashtra,India,4
ORD100111,2024-04-21,CUST6977,Electronics,Tablet,3,10255,30765,Credit Card,Maharashtra,India,4
ORD100112,2024-04-22,CUST8721,Fashion,T-Shirt,1,13798,13798,Upi,Rajasthan,India,4
ORD100113,2024-04-23,CUST8035,Grocery,Rice 5Kg,2,8325,16650,Credit Card,Karnataka,India,4
ORD100114,2024-04-24,CUST2484,Home & Kitchen,Water Bottle,1,28008,28008,Upi,Maharashtra,India,4
ORD100115,2024-04-25,CUST8858,Grocery,Rice 5Kg,5,19814,99070,Debit Card,Maharashtra,India,4
ORD100116,2024-04-26,CUST1863,Fashion,Shoes,5,3373,16865,Cash On Delivery,Rajasthan,India,4
ORD100117,2024-04-27,CUST3790,Beauty,Hair Dryer,2,7961,15922,Upi,West Bengal,India,4
ORD100118,2024-04-28,CUST8408,Beauty,Face Cream,3,3912,11736,Credit Card,Rajasthan,India,4
ORD100119,2024-04-29,CUST9755,Electronics,Smartwatch,1,27923,27923,Debit Card,Gujarat,India,4
ORD100120,2024-04-30,CUST6116,Grocery,Atta 10Kg,4,5792,23168,Upi,Maharashtra,India,4
ORD100121,2024-05-01,CUST7019,Electronics,Headphones,4,14637,58548,Debit Card,Gujarat,India,5
ORD100122,2024-05-02,CUST2757,Beauty,Lipstick,2,25737,51474,Upi,Rajasthan,India,5
ORD100123,2024-05-03,CUST8574,Beauty,Face Cream,2,6671,13342,Credit Card,Gujarat,India,5
ORD100124,2024-05-04,CUST7374,Fashion,T-Shirt,5,1377,6885,Cash On Delivery,Maharashtra,India,5
ORD100125,2024-05-05,CUST7892,Grocery,Cooking Oil,5,27798,138990,Cash On Delivery,Karnataka,India,5
ORD100126,2024-05-06,CUST2678,Beauty,Lipstick,2,27187,54374,Debit Card,Delhi,India,5
ORD100127,2024-05-07,CUST4242,Grocery,Rice 5Kg,3,9406,28218,Cash On Delivery,West Bengal,India,5
ORD100128,2024-05-08,CUST5636,Electronics,Tablet,3,4346,13038,Upi,Karnataka,India,5
ORD100129,2024-05-09,CUST2059,Grocery,Cooking Oil,3,14313,42939,Upi,Rajasthan,India,5
ORD100130,2024-05-10,CUST7668,Fashion,Jacket,5,28411,142055,Debit Card,Rajasthan,India,5
ORD100131,2024-05-11,CUST4157,Grocery,Atta 10Kg,4,23895,95580,Cash On Delivery,Gujarat,India,5
ORD100132,2024-05-12,CUST6915,Home & Kitchen,Cookware Set,1,11028,11028,Credit Card,Karnataka,India,5
ORD100133,2024-05-13,CUST3693,Electronics,Headphones,4,16145,64580,Debit Card,West Bengal,India,5
ORD100134,2024-05-14,CUST4627,Electronics,Laptop,5,6641,33205,Cash On Delivery,Karnataka,India,5
ORD100135,2024-05-15,CUST6450,Fashion,Shoes,1,21875,21875,Credit Card,West Bengal,India,5
ORD100136,2024-05-16,CUST2663,Beauty,Face Cream,5,23453,117265,Upi,Karnataka,India,5
ORD100137,2024-05-17,CUST6592,Home & Kitchen,Mixer Grinder,2,29855,59710,Upi,Gujarat,India,5
ORD100138,2024-05-18,CUST8392,Grocery,Cooking Oil,1,3425,3425,Upi,Delhi,India,5
ORD100139,2024-05-19,CUST2306,Fashion,Shoes,3,3883,11649,Debit Card,Karnataka,India,5
ORD100140,2024-05-20,CUST7776,Home & Kitchen,Mixer Grinder,2,5210,10420,Credit Card,Karnataka,India,5
ORD100141,2024-05-21,CUST6864,Electronics,Laptop,5,26360,131800,Cash On Delivery,Delhi,India,5
ORD100142,2024-05-22,CUST8526,Home & Kitchen,Mixer Grinder,5,16536,82680,Cash On Delivery,Rajasthan,India,5
ORD100143,2024-05-23,CUST9901,Grocery,Atta 10Kg,3,1187,3561,Credit Card,Delhi,India,5
ORD100144,2024-05-24,CUST6575,Electronics,Smartwatch,5,25216,126080,Upi,Rajasthan,India,5
ORD100145,2024-05-25,CUST6530,Home & Kitchen,Water Bottle,3,4558,13674,Credit Card,West Bengal,India,5
ORD100146,2024-05-26,CUST5413,Beauty,Hair Dryer,5,28784,143920,Debit Card,Maharashtra,India,5
ORD100147,2024-05-27,CUST4748,Fashion,Shoes,3,5899,17697,Credit Card,Gujarat,India,5
ORD100148,2024-05-28,CUST1663,Home & Kitchen,Water Bottle,5,21685,108425,Cash On Delivery,Karnataka,India,5
ORD100149,2024-05-29,CUST2998,Grocery,Rice 5Kg,4,14410,57640,Cash On Delivery,Maharashtra,India,5
ORD100150,2024-05-30,CUST8994,Electronics,Headphones,1,27822,27822,Upi,Karnataka,India,5
ORD100151,2024-05-31,CUST2495,Electronics,Tablet,2,5251,10502,Cash On Delivery,West Bengal,India,5
ORD100152,2024-06-01,CUST4304,Beauty,Lipstick,5,27599,137995,Cash On Delivery,Rajasthan,India,6
ORD100153,2024-06-02,CUST4763,Home & Kitchen,Bedsheet,4,2628,10512,Debit Card,Gujarat,India,6
ORD100154,2024-06-03,CUST6232,Home & Kitchen,Bedsheet,4,19401,77604,Upi,Rajasthan,India,6
ORD100155,2024-06-04,CUST2853,Beauty,Hair Dryer,4,861,3444,Credit Card,Karnataka,India,6
ORD100156,2024-06-05,CUST7585,Fashion,T-Shirt,5,16036,80180,Debit Card,Maharashtra,India,6
ORD100157,2024-06-06,CUST2291,Home & Kitchen,Cookware Set,1,26878,26878,Upi,Karnataka,India,6
ORD100158,2024-06-07,CUST4581,Fashion,Jacket,4,10954,43816,Upi,Rajasthan,India,6
ORD100159,2024-06-08,CUST8554,Fashion,Jeans,5,22683,113415,Upi,Karnataka,India,6
ORD100160,2024-06-09,CUST8280,Electronics,Smartwatch,4,20621,82484,Credit Card,Rajasthan,India,6
ORD100161,2024-06-10,CUST2636,Electronics,Smartwatch,4,9915,39660,Upi,Gujarat,India,6
ORD100162,2024-06-11,CUST4696,Fashion,T-Shirt,2,26377,52754,Upi,Maharashtra,India,6
ORD100163,2024-06-12,CUST1698,Home & Kitchen,Bedsheet,1,19080,19080,Debit Card,Delhi,India,6
ORD100164,2024-06-13,CUST5737,Fashion,Shoes,2,3467,6934,Debit Card,Gujarat,India,6
ORD100165,2024-06-14,CUST1854,Beauty,Hair Dryer,3,10582,31746,Cash On Delivery,Rajasthan,India,6
ORD100166,2024-06-15,CUST9164,Grocery,Tea 1Kg,2,4307,8614,Credit Card,Maharashtra,India,6
ORD100167,2024-06-16,CUST6855,Home & Kitchen,Mixer Grinder,3,11621,34863,Credit Card,Gujarat,India,6
ORD100168,2024-06-17,CUST8392,Beauty,Lipstick,4,7893,31572,Debit Card,Maharashtra,India,6
ORD100169,2024-06-18,CUST7528,Grocery,Atta 10Kg,2,23586,47172,Debit Card,Gujarat,India,6
ORD100170,2024-06-19,CUST6249,Home & Kitchen,Cookware Set,4,22681,90724,Upi,Gujarat,India,6
ORD100171,2024-06-20,CUST6172,Home & Kitchen,Mixer Grinder,5,20843,104215,Upi,Rajasthan,India,6
ORD100172,2024-06-21,CUST2707,Grocery,Tea 1Kg,3,2730,8190,Credit Card,Maharashtra,India,6
ORD100173,2024-06-22,CUST6791,Electronics,Smartwatch,5,19113,95565,Credit Card,West Bengal,India,6
ORD100174,2024-06-23,CUST6535,Fashion,T-Shirt,4,7540,30160,Cash On Delivery,Karnataka,India,6
ORD100175,2024-06-24,CUST5931,Fashion,T-Shirt,4,22361,89444,Cash On Delivery,West Bengal,India,6
ORD100176,2024-06-25,CUST4510,Grocery,Atta 10Kg,2,5379,10758,Debit Card,Delhi,India,6
ORD100177,2024-06-26,CUST1202,Beauty,Face Cream,3,10345,31035,Upi,Gujarat,India,6
ORD100178,2024-06-27,CUST5218,Home & Kitchen,Cookware Set,3,17273,51819,Debit Card,West Bengal,India,6
ORD100179,2024-06-28,CUST9958,Electronics,Headphones,1,29994,29994,Upi,West Bengal,India,6
ORD100180,2024-06-29,CUST5389,Fashion,Shoes,3,6606,19818,Upi,Karnataka,India,6
ORD100181,2024-06-30,CUST3327,Fashion,Jacket,1,10540,10540,Cash On Delivery,Karnataka,India,6
ORD100182,2024-07-01,CUST9004,Grocery,Tea 1Kg,4,12611,50444,Debit Card,Rajasthan,India,7
ORD100183,2024-07-02,CUST3931,Home & Kitchen,Bedsheet,5,24454,122270,Cash On Delivery,Rajasthan,India,7
ORD100184,2024-07-03,CUST8777,Grocery,Atta 10Kg,3,26915,80745,Credit Card,Rajasthan,India,7
ORD100185,2024-07-04,CUST1197,Grocery,Rice 5Kg,5,29381,146905,Credit Card,Gujarat,India,7
ORD100186,2024-07-05,CUST8125,Beauty,Face Cream,5,23377,116885,Cash On Delivery,Gujarat,India,7
ORD100187,2024-07-06,CUST2930,Grocery,Rice 5Kg,5,22940,114700,Credit Card,Gujarat,India,7
ORD100188,2024-07-07,CUST7287,Grocery,Rice 5Kg,5,2585,12925,Upi,West Bengal,India,7
ORD100189,2024-07-08,CUST9800,Fashion,T-Shirt,3,21176,63528,Debit Card,Karnataka,India,7
ORD100190,2024-07-09,CUST5282,Grocery,Tea 1Kg,5,24545,122725,Cash On Delivery,Rajasthan,India,7
ORD100191,2024-07-10,CUST3511,Home & Kitchen,Water Bottle,4,793,3172,Upi,Delhi,India,7
ORD100192,2024-07-11,CUST1659,Grocery,Tea 1Kg,5,20077,100385,Upi,Gujarat,India,7
ORD100193,2024-07-12,CUST3811,Home & Kitchen,Mixer Grinder,1,20784,20784,Cash On Delivery,Maharashtra,India,7
ORD100194,2024-07-13,CUST8098,Electronics,Smartphone,1,17155,17155,Upi,West Bengal,India,7
ORD100195,2024-07-14,CUST7546,Home & Kitchen,Cookware Set,2,28871,57742,Cash On Delivery,Karnataka,India,7
ORD100196,2024-07-15,CUST2986,Grocery,Tea 1Kg,3,29630,88890,Cash On Delivery,Gujarat,India,7
ORD100197,2024-07-16,CUST9338,Beauty,Hair Dryer,1,16662,16662,Cash On Delivery,Maharashtra,India,7
ORD100198,2024-07-17,CUST3911,Grocery,Atta 10Kg,5,7283,36415,Debit Card,Maharashtra,India,7
ORD100199,2024-07-18,CUST2734,Grocery,Tea 1Kg,5,19855,99275,Debit Card,Maharashtra,India,7
ORD100200,2024-07-19,CUST2843,Beauty,Face Cream,5,28282,141410,Cash On Delivery,Delhi,India,7
ORD100201,2024-07-20,CUST9680,Electronics,Smartwatch,4,23004,92016,Debit Card,Gujarat,India,7
ORD100202,2024-07-21,CUST3976,Fashion,Jeans,4,12886,51544,Debit Card,Delhi,India,7
ORD100203,2024-07-22,CUST2959,Beauty,Lipstick,3,28338,85014,Upi,Gujarat,India,7
ORD100204,2024-07-23,CUST6759,Grocery,Cooking Oil,2,9965,19930,Upi,Karnataka,India,7
ORD100205,2024-07-24,CUST7694,Electronics,Smartphone,2,27769,55538,Upi,Delhi,India,7
ORD100206,2024-07-25,CUST3385,Fashion,Shoes,4,26389,105556,Upi,Maharashtra,India,7
ORD100207,2024-07-26,CUST5736,Electronics,Laptop,2,14289,28578,Cash On Delivery,West Bengal,India,7
ORD100208,2024-07-27,CUST2802,Fashion,Jeans,2,27197,54394,Upi,West Bengal,India,7
ORD100209,2024-07-28,CUST9155,Fashion,Shoes,3,17105,51315,Cash On Delivery,Maharashtra,India,7
ORD100210,2024-07-29,CUST9120,Home & Kitchen,Bedsheet,1,22368,22368,Credit Card,Delhi,India,7
ORD100211,2024-07-30,CUST7616,Fashion,Shoes,1,12089,12089,Cash On Delivery,Rajasthan,India,7
ORD100212,2024-07-31,CUST6534,Fashion,T-Shirt,4,28135,112540,Credit Card,Delhi,India,7
ORD100213,2024-08-01,CUST5061,Electronics,Smartwatch,3,26343,79029,Debit Card,Rajasthan,India,8
ORD100214,2024-08-02,CUST1262,Electronics,Tablet,1,11382,11382,Upi,Gujarat,India,8
ORD100215,2024-08-03,CUST7287,Grocery,Cooking Oil,5,16197,80985,Cash On Delivery,Rajasthan,India,8
ORD100216,2024-08-04,CUST9815,Fashion,Jacket,3,29127,87381,Credit Card,Rajasthan,India,8
ORD100217,2024-08-05,CUST3049,Beauty,Face Cream,4,28644,114576,Credit Card,West Bengal,India,8
ORD100218,2024-08-06,CUST6423,Home & Kitchen,Mixer Grinder,5,21142,105710,Debit Card,Karnataka,India,8
ORD100219,2024-08-07,CUST5548,Home & Kitchen,Bedsheet,3,13918,41754,Upi,Karnataka,India,8
ORD100220,2024-08-08,CUST4108,Beauty,Face Cream,5,1576,7880,Debit Card,Delhi,India,8
ORD100221,2024-08-09,CUST8158,Beauty,Perfume,5,29925,149625,Debit Card,Karnataka,India,8
ORD100222,2024-08-10,CUST8400,Electronics,Smartwatch,2,23937,47874,Cash On Delivery,Maharashtra,India,8
ORD100223,2024-08-11,CUST4170,Grocery,Atta 10Kg,1,6219,6219,Cash On Delivery,Delhi,India,8
ORD100224,2024-08-12,CUST3255,Home & Kitchen,Cookware Set,3,2720,8160,Upi,Gujarat,India,8
ORD100225,2024-08-13,CUST2154,Beauty,Perfume,2,2359,4718,Upi,West Bengal,India,8
ORD100226,2024-08-14,CUST5499,Fashion,Jacket,2,19233,38466,Credit Card,Gujarat,India,8
ORD100227,2024-08-15,CUST7295,Fashion,T-Shirt,1,20073,20073,Upi,West Bengal,India,8
ORD100228,2024-08-16,CUST7197,Fashion,Jeans,3,24486,73458,Cash On Delivery,Rajasthan,India,8
ORD100229,2024-08-17,CUST2648,Beauty,Face Cream,2,2379,4758,Cash On Delivery,West Bengal,India,8
ORD100230,2024-08-18,CUST6539,Fashion,Shoes,3,23905,71715,Credit Card,West Bengal,India,8
ORD100231,2024-08-19,CUST5199,Grocery,Cooking Oil,5,14737,73685,Credit Card,Rajasthan,India,8
ORD100232,2024-08-20,CUST9445,Fashion,Jacket,1,5236,5236,Upi,Karnataka,India,8
ORD100233,2024-08-21,CUST3557,Fashion,T-Shirt,3,16287,48861,Cash On Delivery,West Bengal,India,8
ORD100234,2024-08-22,CUST6592,Home & Kitchen,Bedsheet,4,27723,110892,Cash On Delivery,Rajasthan,India,8
ORD100235,2024-08-23,CUST1098,Home & Kitchen,Cookware Set,2,14426,28852,Cash On Delivery,Karnataka,India,8
ORD100236,2024-08-24,CUST3200,Beauty,Face Cream,3,12893,38679,Cash On Delivery,West Bengal,India,8
ORD100237,2024-08-25,CUST3961,Home & Kitchen,Cookware Set,5,11366,56830,Cash On Delivery,Karnataka,India,8
ORD100238,2024-08-26,CUST5973,Beauty,Lipstick,5,29611,148055,Debit Card,Rajasthan,India,8
ORD100239,2024-08-27,CUST5433,Electronics,Smartphone,2,1030,2060,Upi,Karnataka,India,8
ORD100240,2024-08-28,CUST3869,Beauty,Lipstick,3,9718,29154,Upi,Delhi,India,8
ORD100241,2024-08-29,CUST1956,Fashion,Shoes,5,12648,63240,Credit Card,Maharashtra,India,8
ORD100242,2024-08-30,CUST9352,Fashion,Jacket,3,25174,75522,Debit Card,Rajasthan,India,8
ORD100243,2024-08-31,CUST6699,Fashion,Jeans,1,13089,13089,Upi,West Bengal,India,8
ORD100244,2024-09-01,CUST7944,Fashion,T-Shirt,2,2297,4594,Upi,Delhi,India,9
ORD100245,2024-09-02,CUST5493,Beauty,Face Cream,5,2957,14785,Debit Card,Maharashtra,India,9
ORD100246,2024-09-03,CUST5911,Grocery,Atta 10Kg,5,28762,143810,Debit Card,Gujarat,India,9
